year,start_ts,end_ts,yield,yield_x1,yield_x2,yield_x3,yield_x4,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,2021-08-29 12:00:00,2021-08-30 23:00:00,198.79,180.3,0.0,67.23,-0.0,250.23,71.25,69.11,0.0,21.24,27.51,100,9,63,400,541.36,988.42,744.02,147.86,0.0,0.75,0.12,0.2
2021,2021-08-29 12:00:00,2021-08-30 23:00:00,198.79,180.3,0.0,67.23,-0.0,250.23,71.25,69.11,0.0,21.24,27.51,100,9,63,400,541.36,988.42,744.02,147.86,0.0,0.75,0.12,0.2
2021,2021-06-23 12:00:00,2021-06-24 23:00:00,285.13,261.91,0.0,95.54,-9.91,366.82,90.33,103.46,16.32,21.24,41.18,100,9,63,400,545.12,1038.96,719.31,126.02,0.0,0.58,0.17,0.2
2021,2021-01-21 12:00:00,2021-01-22 23:00:00,37.44,58.68,0.0,0.0,-0.0,217.78,29.2,0.0,0.0,21.24,0.0,100,9,63,400,82.44,308.83,231.72,62.03,0.0,0.52,0.1,0.18
2021,2021-05-04 12:00:00,2021-05-05 23:00:00,104.13,123.02,0.0,34.98,-0.0,404.9,84.97,81.96,0.0,21.24,32.62,100,9,63,400,163.96,471.59,300.67,83.11,0.0,0.83,0.25,0.29
2021,2021-12-19 12:00:00,2021-12-20 23:00:00,285.81,32.35,0.0,466.82,-118.7,11.98,8.79,184.47,181.39,21.24,73.42,100,9,63,400,213.94,3465.07,1798.61,1177.4,0.0,0.06,0.01,0.02
2021,2021-03-12 12:00:00,2021-03-13 23:00:00,30.13,51.37,0.0,0.0,-0.0,245.79,25.33,0.0,0.0,21.24,0.0,100,9,63,400,186.81,392.94,229.12,50.8,0.0,0.71,0.12,0.2
2021,2021-08-21 12:00:00,2021-08-22 23:00:00,243.73,215.26,0.0,104.04,-0.0,383.77,140.72,136.5,0.0,21.24,54.33,100,9,63,400,496.41,834.2,620.18,102.02,0.0,0.68,0.21,0.25
2021,2021-04-09 12:00:00,2021-04-10 23:00:00,110.63,123.35,0.0,43.53,-0.0,379.09,90.68,87.96,0.0,21.24,35.01,100,9,63,400,116.33,514.95,330.64,123.43,0.0,0.82,0.22,0.27
2021,2021-11-22 12:00:00,2021-11-23 23:00:00,172.38,30.43,0.0,385.74,-152.71,16.07,14.1,175.47,166.8,21.24,69.84,100,9,63,400,110.96,2489.05,1272.47,789.79,0.0,0.15,0.01,0.03
