HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,Date,Hour
2021-01-09 11:00:00,2021-01-09 12:00:00,DK2,498.390015,67.010002,2021-01-09,12
2021-01-09 12:00:00,2021-01-09 13:00:00,DK2,465.070007,62.529999,2021-01-09,13
2021-01-09 13:00:00,2021-01-09 14:00:00,DK2,446.26001,60.0,2021-01-09,14
2021-01-09 14:00:00,2021-01-09 15:00:00,DK2,446.26001,60.0,2021-01-09,15
2021-01-09 15:00:00,2021-01-09 16:00:00,DK2,466.929993,62.779999,2021-01-09,16
2021-01-09 16:00:00,2021-01-09 17:00:00,DK2,520.039978,69.919998,2021-01-09,17
2021-01-09 17:00:00,2021-01-09 18:00:00,DK2,535.429993,71.989998,2021-01-09,18
2021-01-09 18:00:00,2021-01-09 19:00:00,DK2,512.820007,68.949997,2021-01-09,19
2021-01-09 19:00:00,2021-01-09 20:00:00,DK2,466.040009,62.66,2021-01-09,20
2021-01-09 20:00:00,2021-01-09 21:00:00,DK2,410.480011,55.189999,2021-01-09,21
2021-01-09 21:00:00,2021-01-09 22:00:00,DK2,402.600006,54.130001,2021-01-09,22
2021-01-09 22:00:00,2021-01-09 23:00:00,DK2,334.170013,44.93,2021-01-09,23
2021-01-09 23:00:00,2021-01-10 00:00:00,DK2,288.859985,38.84,2021-01-10,0
2021-01-10 00:00:00,2021-01-10 01:00:00,DK2,267.51001,35.970001,2021-01-10,1
2021-01-10 01:00:00,2021-01-10 02:00:00,DK2,255.460007,34.349998,2021-01-10,2
2021-01-10 02:00:00,2021-01-10 03:00:00,DK2,251.889999,33.869999,2021-01-10,3
2021-01-10 03:00:00,2021-01-10 04:00:00,DK2,251.669998,33.84,2021-01-10,4
2021-01-10 04:00:00,2021-01-10 05:00:00,DK2,254.419998,34.209999,2021-01-10,5
2021-01-10 05:00:00,2021-01-10 06:00:00,DK2,253.080002,34.029999,2021-01-10,6
2021-01-10 06:00:00,2021-01-10 07:00:00,DK2,279.709991,37.610001,2021-01-10,7
2021-01-10 07:00:00,2021-01-10 08:00:00,DK2,290.720001,39.09,2021-01-10,8
2021-01-10 08:00:00,2021-01-10 09:00:00,DK2,303.140015,40.759998,2021-01-10,9
2021-01-10 09:00:00,2021-01-10 10:00:00,DK2,328.420013,44.16,2021-01-10,10
2021-01-10 10:00:00,2021-01-10 11:00:00,DK2,343.890015,46.240002,2021-01-10,11
2021-01-10 11:00:00,2021-01-10 12:00:00,DK2,332.880005,44.759998,2021-01-10,12
2021-01-10 12:00:00,2021-01-10 13:00:00,DK2,329.76001,44.34,2021-01-10,13
2021-01-10 13:00:00,2021-01-10 14:00:00,DK2,338.019989,45.450001,2021-01-10,14
2021-01-10 14:00:00,2021-01-10 15:00:00,DK2,357.200012,48.029999,2021-01-10,15
2021-01-10 15:00:00,2021-01-10 16:00:00,DK2,415.51001,55.869999,2021-01-10,16
2021-01-10 16:00:00,2021-01-10 17:00:00,DK2,461.769989,62.09,2021-01-10,17
2021-01-10 17:00:00,2021-01-10 18:00:00,DK2,471.589996,63.41,2021-01-10,18
2021-01-10 18:00:00,2021-01-10 19:00:00,DK2,410.829987,55.240002,2021-01-10,19
2021-01-10 19:00:00,2021-01-10 20:00:00,DK2,357.350006,48.049999,2021-01-10,20
2021-01-10 20:00:00,2021-01-10 21:00:00,DK2,330.880005,44.490002,2021-01-10,21
2021-01-10 21:00:00,2021-01-10 22:00:00,DK2,298.0,40.07,2021-01-10,22
2021-01-10 22:00:00,2021-01-10 23:00:00,DK2,266.839996,35.880001,2021-01-10,23
2021-01-10 23:00:00,2021-01-11 00:00:00,DK2,333.929993,44.900002,2021-01-11,0
2021-01-11 00:00:00,2021-01-11 01:00:00,DK2,294.429993,39.59,2021-01-11,1
2021-01-11 01:00:00,2021-01-11 02:00:00,DK2,280.970001,37.779999,2021-01-11,2
2021-01-11 02:00:00,2021-01-11 03:00:00,DK2,263.5,35.43,2021-01-11,3
2021-01-11 03:00:00,2021-01-11 04:00:00,DK2,277.329987,37.290001,2021-01-11,4
2021-01-11 04:00:00,2021-01-11 05:00:00,DK2,307.970001,41.41,2021-01-11,5
2021-01-11 05:00:00,2021-01-11 06:00:00,DK2,318.160004,42.779999,2021-01-11,6
2021-01-11 06:00:00,2021-01-11 07:00:00,DK2,448.01001,60.240002,2021-01-11,7
2021-01-11 07:00:00,2021-01-11 08:00:00,DK2,449.350006,60.419998,2021-01-11,8
